objective,Scored Labels
90798,90464.70313
78337,78338.07031
73027,73027.11719
78162,76999.13281
92275,96142.66406
92653,92359.27344
80093,80093.55469
76614,76613.70313
71361,71360.92969
77501,77022.10156
73003,72773.60156
94932,93010.17969
78748,78748.46875
85192,85190.9375
88634,89022.53125
75833,74757.16406
72885,72885.22656
75608,75609.59375
77989,77988
81506,80464.25
73784,74054.14844
93598,85280.55469
81217,81216.74219
84795,79400.46875
88472,88471.92188
73567,73568.16406
86098,86098.3125
87697,87099.60156
90765,90764.95313
75862,75863
71990,71989.67969
73250,73253.16406
94503,93467.84375
88614,88849.53125
73399,73681.77344
75833,74757.16406
74066,74066.35156
86911,87551.3125
81592,81590.39063
79919,78063.28906
91898,87512.3125
86911,87551.3125
81413,81413.125
75917,75918.05469
78033,78032.11719
87936,87935.625
76240,76240.78906
73016,73892.11719
85869,85868.89844
95919,92993.28125
79918,79916.65625
76241,76242.34375
71413,71413.15625
79107,79599.41406
78015,78015.15625
95500,91728.53906
74712,74711.07031
92957,92948.42188
81157,79838.92188
83318,83319.63281
78760,78759.92188
75654,75654.67188
77596,77595.21875
88986,88104.00781
81230,81230.10156
72840,72594.16406
84336,84338.125
85414,80730.34375
74871,75359.55469
90138,92955.78906
85406,85406.86719
77088,77086.45313
70622,70622.82813
86506,86474.4375
79820,79820.36719
88907,92231.05469
95725,91386.19531
79536,79534.67188
91288,91287.98438
81032,80010.88281
92267,91448.94531
77419,77416.85156
75608,75609.59375
77876,75908.20313
81147,80245.46094
79107,78139.00781
69761,69133.8125
78912,79363.74219
79621,78134.64063
82045,82046.01563
76906,76865.13281
88614,88849.53125
79050,79050.66406
70803,70804.75
79100,79103.46875
75819,76531.95313
74083,74083.58594
79610,79609.13281
74122,74120.13281
80732,81116.86719
