objective,Scored Labels
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
30605,30605
32663,31351.92969
31715,32090.53516
34547,30605.0293
36237,31507.16797
35409,30605
33401,30605
31575,30605
32427,33324.84766
32543,30605
33709,30605
33408,30620.32617
31993,30605
32743,31990.41992
30773,30605
31073,30605
32291,33172.85547
30887,31421.25195
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30606,30606
30974,30606.08008
34336,30606
33232,31593.98047
30912,30606
32754,30659.44531
30606,30606.02148
32080,30810.41797
31553,32146.45703
30910,30606
30943,32090.77148
30880,30606
33402,30606
30612,30606
31125,30856.72461
31550,32368.93555
31571,30606
31480,31598.0957
31735,30605.99805
32713,32995.00781
31512,30606
30606,30605.98047
35452,33714.24609
32611,30606
34832,30609.7168
30666,30608.82422
32986,30606
30674,30606
30662,30772.54297
30607,30607
30607,30607
30607,30607
30607,30607
30607,30607
30607,30607
30607,30607
30607,30607
30607,30607
30607,30607
30607,30607
30753,30856.29492
32962,33321.125
31481,33325.66797
30607,30607.08398
30607,30606.68359
32305,30606.83008
33501,30607
